mission,object_name,disposition,period,planet_radius,star_temp,star_radius,star_mass,discovery_facility
TESS,1052.01,CANDIDATE,9.139804,3.0629855,5958.2,1.58,,TESS
TESS,1054.01,CANDIDATE,15.5077855,2.43432,6122.0,1.17,,TESS
TESS,1055.01,CANDIDATE,17.4713078,3.5766828,5783.54,0.974669,,TESS
TESS,1062.01,CANDIDATE,4.1150576,2.30057,5394.0,0.89,,TESS
TESS,1064.01,CANDIDATE,6.4438657,2.460344,4803.0,0.737189,,TESS
TESS,1064.02,CANDIDATE,12.2265595,2.6014766,4803.0,0.737189,,TESS
TESS,1073.01,CANDIDATE,3.9228016,13.3368705,4444.0,0.6983,,TESS
TESS,1075.01,CANDIDATE,0.6047392,1.8625587,4046.0,0.580337,,TESS
TESS,1078.01,CANDIDATE,0.5182425,1.3485121,3325.0,0.390989,,TESS
TESS,1097.01,CANDIDATE,9.188506,2.16591,5876.0,0.98,,TESS
TESS,1097.02,CANDIDATE,13.9028391,2.6136848,5876.0,0.983215,,TESS
TESS,1098.01,CANDIDATE,10.1826983,3.0538057,6153.0,1.14582,,TESS
TESS,1099.01,CANDIDATE,6.441006,2.56374,4867.0,0.8,,TESS
TESS,1107.01,CANDIDATE,4.0782392,13.898174,6501.0,1.74836,,TESS
TESS,1130.01,CANDIDATE,8.34998,11.1424,4236.0,0.74,,TESS
TESS,1130.02,CANDIDATE,4.0686405,3.7548333,4236.0,0.741921,,TESS
TESS,1135.01,CANDIDATE,8.0277326,9.06883,5962.7,1.15,,TESS
TESS,1136.01,CANDIDATE,12.5187279,5.58857,5729.0,0.98,,TESS
TESS,1136.02,CANDIDATE,6.2586065,2.51593,5729.0,0.98,,TESS
TESS,1136.03,CANDIDATE,26.3208756,2.71349,5729.0,0.98,,TESS
TESS,1136.04,CANDIDATE,18.795547,2.1597669,5729.0,0.977727,,TESS
TESS,1173.01,CANDIDATE,7.0643978,9.39131,5429.6,0.96,,TESS
TESS,1174.01,CANDIDATE,8.9534775,2.35888,5029.5,0.76,,TESS
TESS,118.01,CANDIDATE,6.0344667,4.44029,5586.0,1.05,,TESS
TESS,1180.01,CANDIDATE,9.6867516,3.00336,4738.1,0.73,,TESS
TESS,1181.01,CANDIDATE,2.1031647,16.7087,6122.0,1.93,,TESS
TESS,1184.01,CANDIDATE,5.7484439,2.35215,4534.0,0.69,,TESS
TESS,1194.01,CANDIDATE,2.3106428,8.76741,5339.9,0.99,,TESS
TESS,1199.01,CANDIDATE,3.6714717,10.678,5618.0,1.54,,TESS
TESS,120.01,CANDIDATE,11.535076,12.215808,5479.3,2.48771,,TESS
TESS,1201.01,CANDIDATE,2.4919771,2.2187585,3948.0,0.482388,,TESS
TESS,1203.01,CANDIDATE,25.5195307,2.9641461,5742.22,1.17321,,TESS
TESS,122.01,CANDIDATE,5.0780325,2.6347763,3318.0,0.334125,,TESS
TESS,1221.01,CANDIDATE,91.6827832,3.239855,5802.0,1.01814,,TESS
TESS,1224.01,CANDIDATE,4.1782656,2.1023854,3442.0,0.404403,,TESS
TESS,1224.02,CANDIDATE,17.9453645,3.3839124,3442.0,0.404403,,TESS
TESS,1227.01,CANDIDATE,27.3613778,6.4522449,3050.0,0.44128,,TESS
TESS,1228.01,CANDIDATE,29.0497517,2.84674,8208.0,1.8,,TESS
TESS,123.01,CANDIDATE,3.3088922,24.9862,6188.0,2.62,,TESS
TESS,1230.01,CANDIDATE,25.0571312,3.2396838,5696.0,1.15281,,TESS
TESS,1231.01,CANDIDATE,24.2454967,3.878568,3535.0,0.465271,,TESS
TESS,1233.01,CANDIDATE,14.1758947,2.6231641,5723.87,0.864173,,TESS
TESS,1233.02,CANDIDATE,19.5901578,3.0026428,5723.87,0.864173,,TESS
TESS,1233.03,CANDIDATE,6.2036219,2.056748,5723.87,0.864173,,TESS
TESS,1233.04,CANDIDATE,3.79589,1.553135,5723.87,0.864173,,TESS
TESS,1235.01,CANDIDATE,3.4447015,2.00495,3912.0,0.63,,TESS
TESS,1238.01,CANDIDATE,3.2947689,2.5248559,3853.0,0.62326,,TESS
TESS,1238.02,CANDIDATE,0.7645807,1.2407226,3853.0,0.62326,,TESS
TESS,1239.01,CANDIDATE,12.6396982,4.6025162,5217.0,0.789425,,TESS
TESS,1244.01,CANDIDATE,6.4002807,2.2730301,4599.0,0.720551,,TESS
TESS,1246.01,CANDIDATE,18.6548829,4.3869878,5141.0,0.876154,,TESS
TESS,1246.02,CANDIDATE,4.3074513,3.2819879,5141.0,0.876154,,TESS
TESS,1246.03,CANDIDATE,5.9041278,2.4489454,5141.0,0.876154,,TESS
TESS,1246.04,CANDIDATE,37.9251983,3.241643,5141.0,0.876154,,TESS
TESS,1247.01,CANDIDATE,15.9234883,2.18203,5711.85,1.08,,TESS
TESS,1248.01,CANDIDATE,4.3601536,6.9564258,5227.0,0.874131,,TESS
TESS,1249.01,CANDIDATE,13.0791581,3.25485,5453.0,1.0,,TESS
TESS,125.01,CANDIDATE,4.6517186,2.66889,5154.0,0.85,,TESS
TESS,125.02,CANDIDATE,9.1549418,2.62011,5154.0,0.85,,TESS
TESS,125.03,CANDIDATE,19.9815709,2.54717,5154.0,0.85,,TESS
TESS,1255.01,CANDIDATE,10.288886,2.63881,5126.0,0.87,,TESS
TESS,1259.01,CANDIDATE,3.4779776,12.5541925,4699.0,0.765001,,TESS
TESS,1260.01,CANDIDATE,3.1274634,2.5802896,4225.0,0.693431,,TESS
TESS,1260.02,CANDIDATE,7.4931613,2.7733674,4225.0,0.693431,,TESS
TESS,1260.03,CANDIDATE,49.825166,3.8319135,4225.0,0.693431,,TESS
TESS,1266.01,CANDIDATE,10.8948421,2.4691414,3618.0,0.435666,,TESS
TESS,1266.02,CANDIDATE,18.8016111,1.9112282,3618.0,0.435666,,TESS
TESS,1268.01,CANDIDATE,8.157721,9.31888,5091.2,0.9,,TESS
TESS,1269.01,CANDIDATE,4.2529641,2.3483383,5591.0,0.848906,,TESS
TESS,127.01,CANDIDATE,3.7955178,10.3261619,3424.0,0.445372,,TESS
TESS,1272.01,CANDIDATE,3.3159772,4.5947,4972.7,0.81,,TESS
TESS,1273.01,CANDIDATE,4.6313014,9.34848,5736.0,1.07,,TESS
TESS,1278.01,CANDIDATE,14.4751062,8.6976173,3841.0,0.55035,,TESS
TESS,1279.01,CANDIDATE,9.6141636,3.2264735,5477.0,0.840608,,TESS
TESS,128.01,CANDIDATE,4.9404714,2.3216,6086.0,1.13,,TESS
TESS,1288.01,CANDIDATE,2.6998294,4.94551,6180.0,0.92,,TESS
TESS,129.01,CANDIDATE,0.980972,5.9162923,4486.0,0.764401,,TESS
TESS,1294.01,CANDIDATE,3.9152737,9.43435,5714.0,1.58,,TESS
TESS,1295.01,CANDIDATE,3.1968838,14.9685779,6470.0,1.59715,,TESS
TESS,1296.01,CANDIDATE,3.9443668,14.5727196,5494.0,1.75475,,TESS
TESS,1298.01,CANDIDATE,4.5371361,9.8153513,5731.0,1.48668,,TESS
TESS,130.01,CANDIDATE,14.3392144,2.2963233,6295.7,1.1374201,,TESS
TESS,1301.01,CANDIDATE,6.0964074,2.5856853,4820.4,0.731699,,TESS
TESS,132.01,CANDIDATE,2.1096805,3.6396725,5673.0,0.940806,,TESS
TESS,1333.01,CANDIDATE,4.7201912,15.2105,6696.0,1.8,,TESS
TESS,1338.01,CANDIDATE,95.174,7.8498891,5723.2,1.51811,,TESS
TESS,1339.01,CANDIDATE,8.8803281,3.20594,5555.7,0.92,,TESS
TESS,1339.02,CANDIDATE,28.580474,3.1455035,5555.7,0.920435,,TESS
TESS,1339.03,CANDIDATE,38.3511223,3.2843583,5555.7,0.920435,,TESS
TESS,134.01,CANDIDATE,1.4015183,1.4616853,3794.0,0.597007,,TESS
TESS,1346.01,CANDIDATE,5.5025577,2.7049797,4965.0,0.784109,,TESS
TESS,1346.02,CANDIDATE,1.7622537,2.5235818,4965.0,0.784109,,TESS
TESS,1347.01,CANDIDATE,0.8474218,1.7536544,5300.0,0.846387,,TESS
TESS,1347.02,CANDIDATE,4.8420438,1.6177405,5300.0,0.846387,,TESS
TESS,135.01,CANDIDATE,4.1269046,17.0952,6888.0,1.59,,TESS
TESS,136.01,CANDIDATE,0.4628844,1.3543237,3043.0,0.188624,,TESS
TESS,1386.01,CANDIDATE,25.8386422,4.31235,5769.0,1.03,,TESS
TESS,139.01,CANDIDATE,11.0708575,2.3337648,4356.0,0.700727,,TESS
TESS,1406.01,CANDIDATE,10.5739824,9.43898,6519.0,1.27,,TESS
TESS,1408.01,CANDIDATE,4.4247042,8.3621,6594.0,1.49,,TESS
TESS,141.01,CANDIDATE,1.0082361,1.7202,5795.29,1.13,,TESS
TESS,1410.01,CANDIDATE,1.2168732,3.43106,4634.6,0.78,,TESS
TESS,1411.01,CANDIDATE,1.4520486,1.404,4184.0,0.69,,TESS
TESS,1416.01,CANDIDATE,1.0697621,1.60037,4946.0,0.8,,TESS
TESS,1417.01,CANDIDATE,3.0726434,19.9197757,7164.0,1.55831,,TESS
TESS,1420.01,CANDIDATE,6.9561134,12.090823,5387.0,0.940037,,TESS
TESS,1422.01,CANDIDATE,13.001789,3.84805,5914.0,1.00826,,TESS
TESS,1430.01,CANDIDATE,7.4341456,1.97737,5064.0,0.78,,TESS
TESS,1431.01,CANDIDATE,2.650232,15.9327,7400.0,1.94,,TESS
TESS,1437.01,CANDIDATE,18.840891,2.00342,6093.0,1.22,,TESS
TESS,1438.01,CANDIDATE,5.1396666,2.259057,5374.0,0.815924,,TESS
TESS,1438.02,CANDIDATE,9.4280902,2.49195,5374.0,0.82,,TESS
TESS,1439.01,CANDIDATE,27.6438617,3.68027,5873.0,1.62,,TESS
TESS,144.01,CANDIDATE,6.267832,1.99779,5950.0,1.15,,TESS
TESS,1442.01,CANDIDATE,0.4090681,1.1833779,3328.0,0.308799,,TESS
TESS,1443.01,CANDIDATE,23.5407467,2.11441,5236.0,0.75,,TESS
TESS,1444.01,CANDIDATE,0.4702719,1.4344026,5466.0,0.92499,,TESS
TESS,1448.01,CANDIDATE,8.0970819,2.6354043,3391.0,0.381586,,TESS
TESS,1450.01,CANDIDATE,2.0439268,1.0924808,3407.0,0.473603,,TESS
TESS,1451.01,CANDIDATE,16.5379864,2.51948,5781.0,1.03,,TESS
TESS,1452.01,CANDIDATE,11.0619937,1.6184944,3248.0,0.275364,,TESS
TESS,1453.01,CANDIDATE,6.5886877,2.12746,4920.0,0.71,,TESS
TESS,1453.02,CANDIDATE,4.3135263,1.17405,4920.0,0.71,,TESS
TESS,1456.01,CANDIDATE,18.712253,10.3984,6125.0,1.27,,TESS
TESS,1462.01,CANDIDATE,2.1779407,1.28228,5801.89,1.26,,TESS
TESS,1467.01,CANDIDATE,5.9711357,1.8721145,3834.0,0.490737,,TESS
TESS,1468.01,CANDIDATE,15.5324385,2.013576,3382.0,0.369306,,TESS
TESS,1468.02,CANDIDATE,1.880531,1.4548629,3382.0,0.369306,,TESS
TESS,1470.01,CANDIDATE,2.5272822,2.2007181,3624.0,0.49012,,TESS
TESS,1471.01,CANDIDATE,20.7724316,3.91576,5625.56,0.97,,TESS
TESS,1471.02,CANDIDATE,52.5637056,3.28372,5625.56,0.97,,TESS
TESS,1472.01,CANDIDATE,6.3634106,4.4784698,5103.0,0.859483,,TESS
TESS,1473.01,CANDIDATE,5.2544884,2.1916,5958.0,0.99,,TESS
TESS,1478.01,CANDIDATE,10.1802014,12.3422,5623.0,1.04,,TESS
TESS,148.01,CANDIDATE,4.86709,7.42915,5814.3,1.15,,TESS
TESS,1493.01,CANDIDATE,5.147905,18.0411,6064.0,2.9,,TESS
TESS,1494.01,CANDIDATE,5.0267996,12.9814741,6434.0,1.4782799,,TESS
TESS,150.01,CANDIDATE,5.8574075,13.8892762,5982.9,1.67987,,TESS
TESS,1516.01,CANDIDATE,2.0560153,17.2767,6485.0,1.24,,TESS
TESS,1518.01,CANDIDATE,1.902606,19.576504,9918.0,1.82241,,TESS
TESS,157.01,CANDIDATE,2.0845434,13.4432705,5638.0,1.10646,,TESS
TESS,1601.01,CANDIDATE,5.33155,14.6101,5917.0,2.22,,TESS
TESS,1605.01,CANDIDATE,8.7094632,20.9625,5597.0,1.59,,TESS
TESS,1611.01,CANDIDATE,16.2016817,2.38101,5071.0,0.78,,TESS
TESS,163.01,CANDIDATE,4.2311173,14.6260711,6671.0,1.6640199,,TESS
TESS,1630.01,CANDIDATE,12.0557353,2.39173,5504.0,0.83,,TESS
TESS,1634.01,CANDIDATE,0.98933,1.8303854,3455.0,0.465258,,TESS
TESS,1640.01,CANDIDATE,1.9495403,1.3929217,3414.0,0.260187,,TESS
TESS,1659.01,CANDIDATE,5.8775548,2.1822904,5977.0,1.00568,,TESS
TESS,1669.01,CANDIDATE,2.6800536,2.3437,5550.0,1.07,,TESS
TESS,1670.01,CANDIDATE,40.7501028,10.1271,6453.0,1.31,,TESS
TESS,1670.02,CANDIDATE,10.9836724,2.35616,6453.0,1.31,,TESS
TESS,1680.01,CANDIDATE,4.8026561,1.4202459,3231.0,0.213459,,TESS
TESS,1683.01,CANDIDATE,3.057524,2.4878486,4402.0,0.695095,,TESS
TESS,1685.01,CANDIDATE,0.6691449,1.9200407,3457.0,0.462408,,TESS
TESS,169.01,CANDIDATE,2.2554459,11.0535293,5817.0,1.29661,,TESS
TESS,1690.01,CANDIDATE,1.4079369,,5780.0,,,TESS
TESS,1691.01,CANDIDATE,16.7368995,2.88015,5759.0,1.0,,TESS
TESS,1693.01,CANDIDATE,1.766692,1.5574734,3474.0,0.46126,,TESS
TESS,1694.01,CANDIDATE,3.7701296,5.4800266,5058.0,0.81833,,TESS
TESS,1695.01,CANDIDATE,3.1342946,1.7992966,3575.0,0.516105,,TESS
TESS,1696.01,CANDIDATE,2.5005291,3.1713853,3181.0,0.280475,,TESS
TESS,1710.01,CANDIDATE,24.2833782,5.21152,5675.0,0.98,,TESS
TESS,1716.01,CANDIDATE,8.082354,2.72432,5878.6,1.24,,TESS
TESS,172.01,CANDIDATE,9.47686,9.80856,5801.8,1.79,,TESS
TESS,1723.01,CANDIDATE,13.7270395,2.95921,5777.0,1.09,,TESS
TESS,1726.01,CANDIDATE,7.107934,2.2881711,5694.11,0.902932,,TESS
TESS,1726.02,CANDIDATE,20.5438153,2.5734283,5694.11,0.902932,,TESS
TESS,1728.01,CANDIDATE,3.4913952,4.9395,3907.0,0.63,,TESS
TESS,1736.01,CANDIDATE,7.0731057,2.69175,5656.0,1.41,,TESS
TESS,1739.01,CANDIDATE,8.3033493,1.95844,4814.0,0.78,,TESS
TESS,174.01,CANDIDATE,17.6671687,1.87042,4813.0,0.69,,TESS
TESS,174.02,CANDIDATE,29.7975205,1.60982,4813.0,0.69,,TESS
TESS,174.03,CANDIDATE,12.1623316,1.15643,4813.0,0.69,,TESS
TESS,174.04,CANDIDATE,3.9766833,0.757588,4813.0,0.69,,TESS
TESS,174.05,CANDIDATE,7.9076222,0.969819,4813.0,0.69,,TESS
TESS,1742.01,CANDIDATE,21.2690422,1.87711,5707.0,1.16,,TESS
TESS,1743.01,CANDIDATE,4.2660553,3.30511,3281.0,0.32,,TESS
TESS,1744.01,CANDIDATE,22.3417286,2.54102,6179.0,1.14,,TESS
TESS,1749.01,CANDIDATE,4.4891367,1.9980298,3959.0,0.561356,,TESS
TESS,1749.02,CANDIDATE,9.0447039,2.2493746,3959.0,0.561356,,TESS
TESS,175.01,CANDIDATE,3.6906759,1.36751,3469.0,0.31,,TESS
TESS,175.02,CANDIDATE,7.4507305,3.04528,3469.0,0.31,,TESS
TESS,175.03,CANDIDATE,2.2531062,0.826635,3469.0,0.31416,,TESS
TESS,1751.01,CANDIDATE,37.4685042,2.56325,6114.0,1.27,,TESS
TESS,1753.01,CANDIDATE,5.3846239,2.6170633,5700.0,0.959022,,TESS
TESS,1758.01,CANDIDATE,20.7051499,3.39245,5169.0,0.81,,TESS
TESS,1759.01,CANDIDATE,18.8500438,3.09094,3960.0,0.63,,TESS
TESS,1768.01,CANDIDATE,7.3377236,3.2807,5994.0,1.1,,TESS
TESS,177.01,CANDIDATE,2.8531016,2.02068,3703.0,0.52,,TESS
TESS,1772.01,CANDIDATE,8.0542207,2.8337706,5583.1,0.995254,,TESS
TESS,1774.01,CANDIDATE,16.7100422,2.7396616,5853.7,1.09271,,TESS
TESS,1775.01,CANDIDATE,10.2405483,8.69623,5251.0,0.84,,TESS
TESS,1776.01,CANDIDATE,2.8009915,1.4033915,5723.87,0.945408,,TESS
TESS,1777.01,CANDIDATE,14.6503935,1.81908,5859.45,0.98,,TESS
TESS,1778.01,CANDIDATE,6.5273884,2.8972637,6023.0,1.32944,,TESS
TESS,178.01,CANDIDATE,6.5578513,2.54474,4111.0,0.66,,TESS
TESS,178.02,CANDIDATE,20.708504,3.751004,4111.0,0.701202,,TESS
TESS,178.03,CANDIDATE,9.9616347,2.2807327,4111.0,0.660806,,TESS
TESS,1782.01,CANDIDATE,4.9877056,2.4703077,4336.0,0.668693,,TESS
TESS,1782.02,CANDIDATE,1.8290294,2.1268375,4336.0,0.668693,,TESS
TESS,1789.01,CANDIDATE,3.2087149,12.3921,5971.4,2.26,,TESS
TESS,179.01,CANDIDATE,4.1374379,2.6757659,5058.0,0.802633,,TESS
TESS,1793.01,CANDIDATE,55.087,4.36639,5175.0,0.87,,TESS
TESS,1794.01,CANDIDATE,8.7655468,3.3302665,5707.0,1.29921,,TESS
TESS,1797.01,CANDIDATE,3.6451549,2.99324,5922.0,1.05,,TESS
TESS,1797.02,CANDIDATE,1.0376109,1.53671,5922.0,1.05,,TESS
TESS,1798.01,CANDIDATE,8.0214735,2.3381058,5165.2,0.784618,,TESS
TESS,1798.02,CANDIDATE,0.4378083,1.374002,5165.2,0.784618,,TESS
TESS,1799.01,CANDIDATE,7.093853,1.6277147,5690.0,0.956941,,TESS
TESS,1801.01,CANDIDATE,10.6439385,1.98891,3815.0,0.55,,TESS
TESS,1806.01,CANDIDATE,15.1512051,2.8411799,3272.0,0.401575,,TESS
TESS,1807.01,CANDIDATE,0.54937,1.53904,4612.99,0.74,,TESS
TESS,181.01,CANDIDATE,4.5320502,7.0590799,4983.0,0.805573,,TESS
TESS,1811.01,CANDIDATE,3.7130701,11.7215,4719.0,0.81,,TESS
TESS,1820.01,CANDIDATE,4.860673,11.4272,5778.2,1.4,,TESS
TESS,1823.01,CANDIDATE,38.8135498,8.20695,4760.0,0.82,,TESS
TESS,1824.01,CANDIDATE,22.8085719,2.45459,5182.0,0.82,,TESS
TESS,1826.01,CANDIDATE,4.1419805,12.9812632,5418.3,1.15614,,TESS
TESS,1827.01,CANDIDATE,1.467119,1.3241394,3297.0,0.331472,,TESS
TESS,1828.01,CANDIDATE,9.0941239,8.09838,5759.8,1.56,,TESS
TESS,1836.01,CANDIDATE,20.3807824,8.2227994,6351.0,1.61988,,TESS
TESS,1842.01,CANDIDATE,9.5739531,12.4956,6115.0,2.05,,TESS
TESS,1846.01,CANDIDATE,3.9306746,1.7902006,3512.0,0.411452,,TESS
TESS,1853.01,CANDIDATE,1.2436239,3.89334,4968.8,0.84,,TESS
TESS,1855.01,CANDIDATE,1.3641482,19.5876,5347.0,1.08,,TESS
